Year,Month,Ethnic,Eligiblity,Total
2024,01,Alaskan Native or American Indian,15976,182558
2024,01,Mixed Asian-American,32,378
2024,01,Asian Indian,38385,451870
2024,01,Black,350486,4097185
2024,01,Cambodian,12689,145970
2024,01,Chinese,78781,932290
2024,01,Filipino,55945,634600
2024,01,Guamanian,1233,13902
2024,01,Hawaiian,2111,23834
2024,01,Hispanic,3314772,38884346
2024,01,Hmong,17386,209222
2024,01,Japanese,3654,41557
2024,01,Korean,18495,206113
2024,01,Laotian,7154,80600
2024,01,Not Reported,720550,8723686
2024,01,Other,212120,2442905
2024,01,Other Asian or Pacific Islander,42965,536537
2024,01,Samoan,6759,77784
2024,01,Unknown,1697,18941
2024,01,Vietnamese,69764,807947
2024,01,White,643838,7316542
2024,02,Alaskan Native or American Indian,15848,182558
2024,02,Mixed Asian-American,32,378
2024,02,Asian Indian,38302,451870
2024,02,Black,348729,4097185
2024,02,Cambodian,12604,145970
2024,02,Chinese,78420,932290
2024,02,Filipino,55409,634600
2024,02,Guamanian,1236,13902
2024,02,Hawaiian,2095,23834
2024,02,Hispanic,3304150,38884346
2024,02,Hmong,17419,209222
2024,02,Japanese,3601,41557
2024,02,Korean,18209,206113
2024,02,Laotian,7095,80600
2024,02,Not Reported,725153,8723686
2024,02,Other,210924,2442905
2024,02,Other Asian or Pacific Islander,43367,536537
2024,02,Samoan,6711,77784
2024,02,Unknown,1695,18941
2024,02,Vietnamese,69235,807947
2024,02,White,639361,7316542
2024,03,Alaskan Native or American Indian,15714,182558
2024,03,Mixed Asian-American,31,378
2024,03,Asian Indian,38087,451870
2024,03,Black,346464,4097185
2024,03,Cambodian,12455,145970
2024,03,Chinese,77914,932290
2024,03,Filipino,54743,634600
2024,03,Guamanian,1221,13902
2024,03,Hawaiian,2061,23834
2024,03,Hispanic,3287776,38884346
2024,03,Hmong,17419,209222
2024,03,Japanese,3554,41557
2024,03,Korean,17898,206113
2024,03,Laotian,7051,80600
2024,03,Not Reported,726457,8723686
2024,03,Other,209471,2442905
2024,03,Other Asian or Pacific Islander,43626,536537
2024,03,Samoan,6664,77784
2024,03,Unknown,1684,18941
2024,03,Vietnamese,68646,807947
2024,03,White,633866,7316542
2024,04,Alaskan Native or American Indian,15668,182558
2024,04,Mixed Asian-American,33,378
2024,04,Asian Indian,38386,451870
2024,04,Black,345697,4097185
2024,04,Cambodian,12389,145970
2024,04,Chinese,77810,932290
2024,04,Filipino,54289,634600
2024,04,Guamanian,1193,13902
2024,04,Hawaiian,2046,23834
2024,04,Hispanic,3287225,38884346
2024,04,Hmong,17800,209222
2024,04,Japanese,3545,41557
2024,04,Korean,17613,206113
2024,04,Laotian,7019,80600
2024,04,Not Reported,723662,8723686
2024,04,Other,207377,2442905
2024,04,Other Asian or Pacific Islander,44249,536537
2024,04,Samoan,6635,77784
2024,04,Unknown,1720,18941
2024,04,Vietnamese,68310,807947
2024,04,White,630708,7316542
2024,05,Alaskan Native or American Indian,15555,182558
2024,05,Mixed Asian-American,33,378
2024,05,Asian Indian,38265,451870
2024,05,Black,343750,4097185
2024,05,Cambodian,12299,145970
2024,05,Chinese,77446,932290
2024,05,Filipino,53664,634600
2024,05,Guamanian,1182,13902
2024,05,Hawaiian,2023,23834
2024,05,Hispanic,3270696,38884346
2024,05,Hmong,17716,209222
2024,05,Japanese,3500,41557
2024,05,Korean,17312,206113
2024,05,Laotian,6948,80600
2024,05,Not Reported,725562,8723686
2024,05,Other,206272,2442905
2024,05,Other Asian or Pacific Islander,44534,536537
2024,05,Samoan,6567,77784
2024,05,Unknown,1780,18941
2024,05,Vietnamese,67791,807947
2024,05,White,625712,7316542
2024,06,Alaskan Native or American Indian,15427,182558
2024,06,Mixed Asian-American,32,378
2024,06,Asian Indian,37969,451870
2024,06,Black,341081,4097185
2024,06,Cambodian,12161,145970
2024,06,Chinese,76875,932290
2024,06,Filipino,52708,634600
2024,06,Guamanian,1173,13902
2024,06,Hawaiian,1995,23834
2024,06,Hispanic,3243455,38884346
2024,06,Hmong,17598,209222
2024,06,Japanese,3453,41557
2024,06,Korean,17028,206113
2024,06,Laotian,6878,80600
2024,06,Not Reported,722466,8723686
2024,06,Other,204254,2442905
2024,06,Other Asian or Pacific Islander,44697,536537
2024,06,Samoan,6480,77784
2024,06,Unknown,1561,18941
2024,06,Vietnamese,67156,807947
2024,06,White,618787,7316542
2024,07,Alaskan Native or American Indian,15428,182558
2024,07,Mixed Asian-American,34,378
2024,07,Asian Indian,38547,451870
2024,07,Black,341649,4097185
2024,07,Cambodian,12089,145970
2024,07,Chinese,77335,932290
