Year,Ethnic,Total
2012,Alaskan Native or American Indian,191865
2012,Mixed Asian-American,4427
2012,Asian Indian,192336
2012,Black,4293838
2012,Cambodian,165760
2012,Chinese,384178
2012,Filipino,444326
2012,Guamanian,14790
2012,Hawaiian,40528
2012,Hispanic,30274785
2012,Japanese,21559
2012,Korean,91713
2012,Laotian,115328
2012,Not Reported,2163765
2012,Other,1740354
2012,Other Asian or Pacific Islander,470805
2012,Samoan,85527
2012,Unknown,104276
2012,Vietnamese,663224
2012,White,6773896
2013,Alaskan Native or American Indian,203046
2013,Mixed Asian-American,5954
2013,Asian Indian,279539
2013,Black,4483138
2013,Cambodian,180931
2013,Chinese,649989
2013,Filipino,603904
2013,Guamanian,16254
2013,Hawaiian,47558
2013,Hispanic,35507447
2013,Japanese,31258
2013,Korean,198453
2013,Laotian,126162
2013,Not Reported,2850119
2013,Other,2312644
2013,Other Asian or Pacific Islander,555279
2013,Samoan,91128
2013,Unknown,79572
2013,Vietnamese,898781
2013,White,7804848
2014,Alaskan Native or American Indian,224880
2014,Mixed Asian-American,6669
2014,Asian Indian,380551
2014,Black,4754814
2014,Cambodian,192398
2014,Chinese,838743
2014,Filipino,745093
2014,Guamanian,18117
2014,Hawaiian,53511
2014,Hispanic,39145356
2014,Japanese,45718
2014,Korean,303928
2014,Laotian,133915
2014,Not Reported,3507970
2014,Other,2864708
2014,Other Asian or Pacific Islander,681721
2014,Samoan,99111
2014,Unknown,57185
2014,Vietnamese,1007528
2014,White,9383706
2015,Alaskan Native or American Indian,237487
2015,Mixed Asian-American,6691
2015,Asian Indian,412049
2015,Black,4846429
2015,Cambodian,191657
2015,Chinese,892707
2015,Filipino,806500
2015,Guamanian,19824
2015,Hawaiian,55553
2015,Hispanic,40545901
2015,Japanese,50979
2015,Korean,319327
2015,Laotian,134501
2015,Not Reported,3927471
2015,Other,3124031
2015,Other Asian or Pacific Islander,725158
2015,Samoan,103097
2015,Unknown,50124
2015,Vietnamese,1024791
2015,White,9976190
2016,Alaskan Native or American Indian,235601
2016,Mixed Asian-American,6509
2016,Asian Indian,430290
2016,Black,4838549
2016,Cambodian,188485
2016,Chinese,927436
2016,Filipino,828536
2016,Guamanian,19652
2016,Hawaiian,55018
2016,Hispanic,41157492
2016,Japanese,52343
2016,Korean,321895
2016,Laotian,131800
2016,Not Reported,4251410
2016,Other,3318010
2016,Other Asian or Pacific Islander,692653
2016,Samoan,103287
2016,Unknown,44549
2016,Vietnamese,1024662
2016,White,9969277
2017,Alaskan Native or American Indian,226183
2017,Mixed Asian-American,6107
2017,Asian Indian,432243
2017,Black,4687380
2017,Cambodian,181417
2017,Chinese,915562
2017,Filipino,784936
2017,Guamanian,17998
2017,Hawaiian,52426
2017,Hispanic,40349299
2017,Japanese,48669
2017,Korean,293017
2017,Laotian,126082
2017,Not Reported,4387132
2017,Other,3436365
2017,Other Asian or Pacific Islander,593209
2017,Samoan,96758
2017,Unknown,43454
2017,Vietnamese,993062
2017,White,9481949
2018,Alaskan Native or American Indian,217010
2018,Mixed Asian-American,5751
2018,Asian Indian,427004
2018,Black,4548809
2018,Cambodian,175157
2018,Chinese,900251
2018,Filipino,736210
2018,Guamanian,17162
2018,Hawaiian,50117
2018,Hispanic,39245702
2018,Japanese,46744
2018,Korean,272702
2018,Laotian,119840
2018,Not Reported,4546545
2018,Other,3529654
2018,Other Asian or Pacific Islander,553355
2018,Samoan,91837
2018,Unknown,50261
2018,Vietnamese,956223
2018,White,9023340
2019,Alaskan Native or American Indian,205859
2019,Mixed Asian-American,5347
2019,Asian Indian,414880
2019,Black,4396986
2019,Cambodian,167346
2019,Chinese,867272
2019,Filipino,681210
2019,Guamanian,15906
2019,Hawaiian,47064
2019,Hispanic,37772908
2019,Japanese,43039
2019,Korean,245094
2019,Laotian,112796
2019,Not Reported,4563238
2019,Other,3623574
2019,Other Asian or Pacific Islander,518422
2019,Samoan,84879
2019,Unknown,46398
2019,Vietnamese,917738
2019,White,8528247
2020,Alaskan Native or American Indian,203763
2020,Mixed Asian-American,5057
2020,Asian Indian,420499
2020,Black,4347998
2020,Cambodian,164644
2020,Chinese,885203
2020,Filipino,672459
2020,Guamanian,15867
2020,Hawaiian,45958
2020,Hispanic,37436342
2020,Japanese,42590
2020,Korean,239910
2020,Laotian,107986
2020,Not Reported,4475334
2020,Other,3958887
2020,Other Asian or Pacific Islander,496368
2020,Samoan,82513
2020,Unknown,45170
2020,Vietnamese,917852
2020,White,8396639
2021,Alaskan Native or American Indian,209287
2021,Mixed Asian-American,4952
2021,Asian Indian,441483
2021,Black,4413266
2021,Cambodian,168409
2021,Chinese,931847
2021,Filipino,714866
2021,Guamanian,17244
2021,Hawaiian,46487
2021,Hispanic,38751263
2021,Japanese,46232
2021,Korean,249244
2021,Laotian,107943
2021,Not Reported,5111229
2021,Other,4582796
2021,Other Asian or Pacific Islander,500133
2021,Samoan,86410
